"epaRegion","state","epaSampID","amtMERC","amtPCB","amtPFA","species","feeder"
10,"OR",117993,124,0.00844,0,"Tyee sucker","BD"
10,"OR",131593,54.5,1.28,0,"Mountain whitefish","P"
10,"OR",107833,41.5,0.003,0,"Brown bullhead","BD"
10,"OR",893413,379,0.0138,0,"Smallmouth bass","P"
10,"OR",131333,73.9,0.0428,0,"Yellow perch","P"
10,"OR",893973,420,0.0209,0,"Smallmouth bass","P"
3,"PA",134893,168,0.0313,0.529,"Rock bass","P"
3,"PA",129593,283,0.456,0.582,"Smallmouth bass","P"
3,"PA",101873,499,6.17,0.29,"Channel catfish","BD"
3,"PA",898013,511,0.894,0.653,"Walleye","P"
3,"PA",124633,647,3.48,0.288,"Channel catfish","BD"
3,"PA",134933,37.3,7.07,0.406,"Channel catfish","BD"
3,"PA",134953,81.4,0.128,0.56,"Brown trout","P"
3,"PA",134153,578,0.339,0.785,"Smallmouth bass","P"
3,"PA",129093,218,0.115,0.309,"Smallmouth bass","P"
1,"RI",109733,122,8.95,1.23,"White sucker","BD"
1,"RI",104353,222,0.284,9.59,"White sucker","BD"
1,"RI",105153,312,0.0397,10.5,"Yellow perch","P"
1,"RI",109653,274,0.952,8.74,"White sucker","BD"
4,"SC",101813,226,0.518,4.95,"Largemouth bass","P"
4,"SC",885733,320,2.26,4.95,"Largemouth bass","P"
4,"SC",885813,269,0.191,2.49,"Largemouth bass","P"
4,"SC",101853,259,0.476,5.04,"Largemouth bass","P"
4,"SC",123533,98.1,0.132,3.31,"Bluegill","P"
4,"SC",885953,137,0.119,14.6,"Largemouth bass","P"
8,"SD",883393,96.8,0.128,0.252,"Channel catfish","BD"
8,"SD",108493,214,0.0803,0.211,"Channel catfish","BD"
8,"SD",108473,72.2,0.0347,0.271,"Channel catfish","BD"
4,"TN",883933,135,1.16,2.46,"Largemouth bass","P"
4,"TN",897533,143,0.502,1.02,"Channel catfish","BD"
4,"TN",107353,65.5,0.107,0.176,"Redbreast sunfish","P"
4,"TN",883913,37.7,0.71,0.957,"Longear sunfish","P"
4,"TN",124453,105,0.853,0.402,"Channel catfish","BD"
4,"TN",990313,72.5,0.529,1.04,"Channel catfish","BD"
4,"TN",115333,959,0.0181,0.225,"Smallmouth bass","P"
4,"TN",886633,131,1.11,0.42,"Channel catfish","BD"
4,"TN",884053,123,0.856,2.86,"Largemouth bass","P"
6,"TX",104953,380,0.0477,0,"Channel catfish","BD"
6,"TX",100353,154,0.00914,0,"Channel catfish","BD"
6,"TX",114373,201,0.0166,0.119,"Common carp","BD"
6,"TX",104933,191,0.0964,1.24,"Largemouth bass","P"
6,"TX",884493,186,0.107,3.4,"Flathead catfish","BD"
6,"TX",898893,55.4,0.486,2.02,"Channel catfish","BD"
8,"UT",135913,134,0.0852,0.158,"Brown trout","P"
8,"UT",897073,242,0.0107,0,"Brook trout","P"
8,"UT",897313,334,0.172,0,"Brown trout","P"
8,"UT",122433,171,0.0603,0.487,"Channel catfish","BD"
8,"UT",130253,195,0.0379,0.375,"Channel catfish","BD"
3,"VA",893913,170,0.196,0.583,"Smallmouth bass","P"
3,"VA",109333,269,0.171,0.368,"Smallmouth bass","P"
3,"VA",122173,114,0.273,0.208,"Rock bass","P"
3,"VA",122193,383,0.0634,0.762,"Largemouth bass","P"
1,"VT",889313,274,0.105,0.187,"Yellow perch","P"
10,"WA",103893,48.9,0.0673,0.233,"Smallmouth bass","P"
10,"WA",884193,37.9,0.0324,0,"Rainbow trout","P"
10,"WA",103553,115,0.206,0,"Rainbow trout","P"
10,"WA",883053,19.7,0.117,0,"Rainbow trout","P"
10,"WA",883173,67.4,0.0363,0,"Rainbow trout","P"
10,"WA",885053,34,0.0551,0,"Mountain whitefish","P"
10,"WA",103713,213,0.45,0,"Northern pikeminnow","P"
5,"WI",120633,294,0.287,0.686,"Largemouth bass","P"
5,"WI",120513,345,0.546,1.13,"Smallmouth bass","P"
5,"WI",120533,290,0.0142,0.383,"Smallmouth bass","P"
5,"WI",120873,264,0.114,0.475,"Largemouth bass","P"
5,"WI",120833,315,0.623,0.484,"Smallmouth bass","P"
5,"WI",120753,361,0.204,0.337,"Smallmouth bass","P"
5,"WI",120733,196,0.0598,0.35,"White sucker","BD"
5,"WI",120713,202,0.126,0.726,"Smallmouth bass","P"
3,"WV",102133,252,0.961,1.32,"Freshwater drum","P"
3,"WV",115793,89.9,2.1,0.216,"Channel catfish","BD"
3,"WV",886973,72,2.53,0.277,"Channel catfish","BD"
3,"WV",102873,456,1.66,0.307,"Channel catfish","BD"
3,"WV",117513,91.6,0.245,0.565,"Rock bass","P"
3,"WV",889233,362,0.244,0.302,"Smallmouth bass","P"
3,"WV",108193,213,0.186,0.558,"Smallmouth bass","P"
