"epaRegion","state","species","lMerc","lPCB","feeder"
5,"MN","Channel catfish",4.91265488573605,-2.12863178587061,"BD"
5,"MN","Walleye",5.01063529409626,-4.669175515964,"P"
5,"MN","Smallmouth bass",5.55295958492162,-1.30195321268614,"P"
7,"MO","Freshwater drum",5.15905529921453,-0.0449973659307358,"P"
7,"MO","Spotted bass",6.21260609575152,-3.72554343848553,"P"
7,"MO","White bass",5.2257466737132,-1.21739582465808,"P"
7,"MO","Flathead catfish",5.04985600724954,0.2390169004705,"BD"
7,"MO","Largemouth bass",5.85220247977447,-4.20639406603072,"P"
7,"MO","White bass",4.83628190695148,-1.83885107676191,"P"
7,"MO","Spotted bass",6.12686918411419,-3.18931702262666,"P"
7,"MO","Smallmouth bass",5.67675380226828,-4.29768548624013,"P"
7,"MO","Flathead catfish",4.06388535473739,-1.22758266996507,"BD"
4,"MS","Largemouth bass",6.04025471127741,-3.70500883604382,"P"
4,"MS","Freshwater drum",5.78382518232974,-3.19174715747995,"P"
4,"MS","Largemouth bass",5.66988092298052,-3.11002141995612,"P"
4,"MS","Flathead catfish",5.95842469302978,-3.07911388249304,"BD"
4,"MS","Flathead catfish",5.38449506278909,-3.31869616015041,"BD"
4,"MS","Largemouth bass",5.74939298590825,-4.53751153751428,"P"
4,"MS","Blue catfish",5.21493575760899,-1.99510039324608,"BD"
4,"MS","Spotted bass",6.94697599213542,-4.21312809821207,"P"
4,"MS","Blue catfish",5.3890717298165,-0.738144546490681,"BD"
8,"MT","Northern pike",4.79579054559674,-3.78099474302174,"P"
8,"MT","Sauger",7.20042489294496,-4.6929091002961,"P"
8,"MT","Mountain whitefish",4.68213122712422,-1.77195684193188,"P"
8,"MT","Channel catfish",5.12989871492307,-2.74109005518041,"BD"
8,"MT","Smallmouth bass",5.66642668811243,-3.11677060193105,"P"
4,"NC","Channel catfish",4.96284463025991,1.21787570949493,"BD"
4,"NC","Rock bass",4.77912349311153,-2.48410696961744,"P"
4,"NC","Largemouth bass",6.0282785202307,-0.646263594661095,"P"
4,"NC","Blue catfish",5.04342511691925,-0.583396316600826,"BD"
4,"NC","Channel catfish",4.88280192258637,-0.423120043346885,"BD"
8,"ND","Common carp",5.36129216570943,-4.1043948980756,"BD"
8,"ND","Smallmouth bass",5.31811999384422,-5.37088805938287,"P"
8,"ND","Northern pike",4.7361984483945,-5.38824207407602,"P"
8,"ND","Common carp",5.74300318780948,-4.24749574171628,"BD"
8,"ND","White sucker",4.82028156560504,-3.41428262121081,"BD"
8,"ND","Northern pike",5.76832099579377,-4.12893600699172,"P"
8,"ND","Channel catfish",5.29330482472449,-3.26754099684948,"BD"
8,"ND","Channel catfish",4.68213122712422,-1.46101790731583,"BD"
7,"NE","Channel catfish",5.47646355193151,-0.667479433811368,"BD"
7,"NE","Common carp",4.33073334028633,-2.777400279237,"BD"
7,"NE","Channel catfish",5.18178355029209,-1.13943428318836,"BD"
7,"NE","Channel catfish",4.75359019110636,-3.26230538279554,"BD"
7,"NE","Freshwater drum",5.18178355029209,-3.76360300030987,"P"
1,"NH","Smallmouth bass",6.0330862217988,-1.77195684193188,"P"
1,"NH","Yellow perch",5.78996017089725,-2.50103603171788,"P"
1,"NH","Largemouth bass",5.67675380226828,0.947789398933526,"P"
1,"NH","Round whitefish",4.7361984483945,-0.711311151187616,"P"
1,"NH","Largemouth bass",6.0137151560428,-2.00991547903123,"P"
1,"NH","Smallmouth bass",5.23110861685459,-3.49331267056996,"P"
1,"NH","Black crappie",6.11146733950268,-3.31318650433944,"P"
1,"NH","Black crappie",5.18738580584075,-1.51412773262978,"P"
2,"NJ","Rock bass",6.19440539110467,-2.38271113747333,"P"
2,"NJ","White sucker",5.56068163101553,2.00955541421567,"BD"
2,"NJ","Brown bullhead",5.02388052084628,-1.4740332754279,"BD"
2,"NJ","Channel catfish",4.07243972683405,0.641853886172395,"BD"
2,"NJ","Channel catfish",5.44241771052179,0.703097511413113,"BD"
2,"NY","Rock bass",5.99893656194668,-1.11779510808488,"P"
2,"NY","Smallmouth bass",4.88280192258637,-1.67131331615219,"P"
2,"NY","Smallmouth bass",6.3456363608286,-1.0700248318162,"P"
2,"NY","Walleye",5.93753620508243,-1.58474529984373,"P"
2,"NY","Smallmouth bass",5.3890717298165,-2.2730262907525,"P"
2,"NY","Smallmouth bass",6.06610809010375,-1.30563645810244,"P"
2,"NY","Largemouth bass",5.90263333340137,-2.68824757380603,"P"
2,"NY","Smallmouth bass",5.4553211153577,-1.17441400208439,"P"
2,"NY","White sucker",5.48479693349065,0.756121979721334,"BD"
5,"OH","Channel catfish",4.35156742718917,2.92316158071916,"BD"
5,"OH","Channel catfish",4.4188406077966,0.0676586484738149,"BD"
5,"OH","Channel catfish",5.0998664278242,2.4932054526027,"BD"
5,"OH","Walleye",5.99645208861902,-2.04022082852655,"P"
5,"OH","Common carp",4.55597994179732,-3.65738078705457,"BD"
5,"OH","Smallmouth bass",5.34710753071747,-1.13943428318836,"P"
5,"OH","White crappie",4.969813299576,-2.61729583783375,"P"
5,"OH","Channel catfish",4.3732381286408,2.06812778177956,"BD"
5,"OH","Channel catfish",4.50313746042294,1.39871688111845,"BD"
6,"OK","Blue catfish",4.45667017766965,-2.62831523308336,"BD"
6,"OK","Flathead catfish",5.01727983681492,-2.96423360649462,"BD"
6,"OK","Blue catfish",5.39816270151775,-0.646263594661095,"BD"
6,"OK","White crappie",5.4971682252932,-4.71721968979671,"P"
6,"OK","Blue catfish",5.9427993751267,-1.32802545299591,"BD"
6,"OK","Channel catfish",4.82028156560504,-2.23492644452023,"BD"
6,"OK","Channel catfish",4.49758497530815,-3.34104345884241,"BD"
6,"OK","Channel catfish",4.76217393479776,-3.07477548089444,"BD"
10,"OR","Tyee sucker",4.82028156560504,-4.77477297037427,"BD"
10,"OR","Mountain whitefish",3.9982007016692,0.246860077931526,"P"
10,"OR","Brown bullhead",3.72569342723665,-5.80914299031403,"BD"
10,"OR","Smallmouth bass",5.93753620508243,-4.28308668681898,"P"
10,"OR","Yellow perch",4.30271282795416,-3.15121717639439,"P"
10,"OR","Smallmouth bass",6.04025471127741,-3.86800612001137,"P"
3,"PA","Rock bass",5.12396397940326,-3.46413718143603,"P"
3,"PA","Smallmouth bass",5.64544689764324,-0.785262469467751,"P"
3,"PA","Channel catfish",6.21260609575152,1.8196988379173,"BD"
3,"PA","Walleye",6.2363695902037,-0.112049503808623,"P"
3,"PA","Channel catfish",6.4723462945009,1.24703229378638,"BD"
3,"PA","Channel catfish",3.61899332664977,1.95586047990848,"BD"
3,"PA","Brown trout",4.39937527300849,-2.05572501506252,"P"
3,"PA","Smallmouth bass",6.35957386867238,-1.08175517160169,"P"
3,"PA","Smallmouth bass",5.38449506278909,-2.16282315061889,"P"
1,"RI","White sucker",4.80402104473326,2.19165353228676,"BD"
1,"RI","White sucker",5.40267738187228,-1.25878104082093,"BD"
1,"RI","Yellow perch",5.74300318780948,-3.22640409128899,"P"
1,"RI","White sucker",5.61312810638807,-0.0491902441907718,"BD"
4,"SC","Largemouth bass",5.42053499927229,-0.657780036722654,"P"
4,"SC","Largemouth bass",5.76832099579377,0.815364813284194,"P"
4,"SC","Largemouth bass",5.59471137960184,-1.65548185093551,"P"
4,"SC","Largemouth bass",5.55682806169954,-0.742337424750717,"P"
4,"SC","Bluegill",4.58598736657132,-2.02495335639577,"P"
4,"SC","Largemouth bass",4.91998092582813,-2.12863178587061,"P"
8,"SD","Channel catfish",4.57264699428253,-2.05572501506252,"BD"
8,"SD","Channel catfish",5.36597601502185,-2.52198565802942,"BD"
8,"SD","Channel catfish",4.27944004589878,-3.36101559202932,"BD"
4,"TN","Largemouth bass",4.90527477843843,0.148420005118273,"P"
4,"TN","Channel catfish",4.96284463025991,-0.689155159290408,"BD"
4,"TN","Redbreast sunfish",4.18205014264121,-2.23492644452023,"P"
4,"TN","Longear sunfish",3.62966009445396,-0.342490308946776,"P"
4,"TN","Channel catfish",4.65396035015752,-0.158995731490458,"BD"
4,"TN","Channel catfish",4.28358656186063,-0.636766847123838,"BD"
4,"TN","Smallmouth bass",6.86589107488344,-4.01184334071036,"P"
4,"TN","Channel catfish",4.87519732320115,0.104360015324243,"BD"
4,"TN","Largemouth bass",4.81218435537242,-0.155484902840395,"P"
6,"TX","Channel catfish",5.94017125272043,-3.04282388108784,"BD"
6,"TX","Channel catfish",5.03695260241363,-4.69509489351608,"BD"
6,"TX","Common carp",5.30330490805908,-4.09835258361964,"BD"
6,"TX","Largemouth bass",5.25227342804663,-2.33924907736564,"P"
6,"TX","Flathead catfish",5.2257466737132,-2.23492644452023,"BD"
6,"TX","Channel catfish",4.01457959375324,-0.721546655081643,"BD"
8,"UT","Brown trout",4.89783979995091,-2.46275384514687,"P"
8,"UT","Brook trout",5.48893772615669,-4.53751153751428,"P"
8,"UT","Brown trout",5.8111409929767,-1.76026080216868,"P"
8,"UT","Channel catfish",5.14166355650266,-2.808423175249,"BD"
8,"UT","Channel catfish",5.27299955856375,-3.27280416689376,"BD"
